AWBO,BatO,TawnyO,JackalO,HVO,WHO,HyenaO,LFVO,MO,RVO
0,1,2,3,4,0,5,0,0,0
2,0,1,5,6,3,7,4,0,0
0,0,0,1,0,0,0,0,0,0
3,1,2,5,0,0,0,4,6,0
3,1,2,5,0,0,0,4,0,0
3,0,5,4,1,0,0,2,6,0
4,1,2,3,0,0,5,0,6,0
3,0,2,0,1,0,0,4,5,0
0,0,1,0,2,0,3,0,0,0
3,1,2,0,0,0,0,0,0,0
5,1,2,0,0,3,6,4,0,0
0,0,1,0,3,0,0,4,2,0
1,0,6,2,0,0,5,0,4,3
4,0,2,0,1,5,0,3,6,0
4,1,3,0,6,2,0,5,0,0
1,0,3,0,0,0,0,2,4,5
1,0,2,0,0,0,0,4,0,3
3,1,4,7,8,5,0,2,9,6
3,1,2,4,0,0,5,0,0,0
1,0,2,3,0,0,4,0,0,0
1,0,2,5,0,3,0,4,0,0
1,0,2,5,4,0,6,3,0,0
2,0,3,0,0,0,1,0,0,0
1,0,2,0,6,5,0,4,3,0
2,0,0,0,1,0,0,0,3,0
0,0,1,0,0,0,0,2,0,0
1,0,0,4,0,0,5,3,0,2
0,0,1,0,0,2,4,3,5,0
2,0,0,0,0,3,0,1,4,0
2,0,0,0,1,0,5,4,3,6
0,0,2,0,1,0,0,0,0,0
3,0,1,0,0,2,6,4,0,5
0,0,3,1,2,0,0,0,0,0
1,0,2,0,3,0,0,4,6,5
2,0,1,5,7,6,0,3,0,4
3,0,1,0,5,0,0,2,0,4
3,2,1,7,0,0,0,5,6,4
3,0,5,0,0,1,0,2,0,4
3,1,2,5,0,0,0,4,0,0
4,1,2,5,0,0,0,3,0,6
3,1,2,0,0,0,6,4,0,5
0,1,0,0,0,0,0,0,0,0
3,0,1,0,2,0,0,5,0,4
1,0,0,3,0,0,0,4,0,2
3,2,0,0,6,0,5,1,0,4
0,0,0,0,0,0,0,2,1,0
2,0,1,5,0,0,0,4,0,3
0,1,3,0,0,4,0,2,0,0
2,1,4,0,3,0,0,5,0,6
1,0,0,3,5,0,0,4,0,2
3,0,2,0,1,0,0,4,5,6
3,1,2,5,0,0,0,4,6,7
3,0,0,0,2,0,0,1,0,0
2,0,1,5,0,0,0,3,0,4
1,0,4,0,5,0,0,2,0,3
0,0,1,0,2,0,0,0,0,0
4,1,0,0,0,0,0,2,5,3
4,1,2,7,0,0,8,3,6,5
3,0,1,4,0,0,0,5,2,6
4,0,1,6,0,0,7,2,5,3
3,0,1,0,0,0,5,2,6,4
4,1,6,0,0,5,0,2,3,0
3,1,2,0,0,0,0,4,6,5
0,1,2,4,0,0,0,3,0,0
4,2,3,8,0,0,7,5,1,6
2,0,0,0,0,0,5,3,1,4
3,1,2,0,0,0,7,6,4,5
4,1,3,0,6,2,0,5,0,0
2,0,1,0,0,0,0,3,5,4
4,1,2,7,8,0,6,3,9,5
3,4,1,0,0,0,6,2,7,5
6,3,1,7,4,0,8,2,5,0
3,1,2,6,0,0,0,4,0,5
1,0,2,4,0,0,0,0,0,3
3,0,2,6,0,0,0,1,5,4
